dataset,partition_method,partition_seed,logical_shards,physical_core_equivalents,m32_capacity_fraction,relevant_query_shard_pairs,ef_search,local_target_recall_mean,local_target_recall_median,local_target_recall_p95,local_target_recall_std,local_target_recall_target_weighted,distance_computations_mean,distance_computations_median,distance_computations_p95,distance_computations_std,graph_nodes_visited_mean,graph_nodes_visited_median,graph_nodes_visited_p95,graph_nodes_visited_std,worker_cpu_us_mean,worker_cpu_us_median,worker_cpu_us_p95,worker_cpu_us_std,local_latency_us_mean,local_latency_us_median,local_latency_us_p95,local_latency_us_std
sift1m,kmeans,20260820,8,8,0.25,14067,80,0.9939768127814619,1.0,1.0,0.03553818527356875,0.9927222222222222,1907.7353380251652,1961.0,2554.0,446.5590856383903,89.56700078197198,89.0,93.0,1.8350938979253468,335.4698940783394,313.0,525.0,103.42724425030688,5151.494694888746,4671.486,9852.38259999999,2437.3888701971036
sift1m,kmeans,20260820,8,8,0.25,14067,160,0.9987161780188012,1.0,1.0,0.01561515869312401,0.9984555555555555,3257.1162294732353,3349.0,4419.0,797.2514228037707,169.3456316201038,169.0,172.0,1.7541254030705864,582.9335323807493,546.0,929.0,184.08518178212427,5294.142611004479,4838.73,9821.857699999993,2410.611565906382
sift1m,kmeans,20260820,8,8,0.25,14067,320,0.9996807229799339,1.0,1.0,0.0060923981948432055,0.9995444444444445,5520.360702353025,5655.0,7584.699999999999,1395.7330433707164,329.2440463496126,329.0,332.0,1.7441202829418518,1045.3186891305893,982.0,1688.0,337.0175030314985,5734.031724390417,5356.82,10184.949999999999,2346.916592436133
sift1m,kmeans,20260820,16,16,0.5,17269,10,0.8441021713373906,1.0,1.0,0.24810342551633605,0.8375222222222222,453.02930105970233,449.0,640.5999999999985,109.28136090795074,19.30337599166136,19.0,25.0,2.8878672478632503,101.0719786901384,89.0,162.0,34.29783703798663,5631.01782882622,5107.813,11121.689399999992,2885.851546359144
sift1m,kmeans,20260820,16,16,0.5,17269,16,0.9103210450509078,1.0,1.0,0.18865131695178794,0.9044444444444445,586.7484509815276,588.0,803.0,133.7961872674948,24.90885401586658,25.0,30.0,2.8347313640559486,120.59337541258903,107.0,192.0,39.94858491469961,5805.4212898257,5285.476,11182.885799999998,2848.080187389145
sift1m,kmeans,20260820,16,16,0.5,17269,20,0.9337093626803513,1.0,1.0,0.16405427689055047,0.9306888888888889,672.3227170073542,678.0,910.0,150.2706286253015,28.665469917192656,28.0,34.0,2.738432202514386,133.2762174995657,118.0,213.0,44.06769704291862,5771.791940413457,5242.977,11275.074999999999,2862.392014867665
sift1m,kmeans,20260820,16,16,0.5,17269,24,0.9493191993727637,1.0,1.0,0.1428548992022834,0.9469777777777778,756.1687416758353,764.0,1021.0,166.6256344298474,32.449707568475304,32.0,37.0,2.6249489076560675,144.90248422027912,128.0,231.0,47.23352081568716,18067.038685216285,16065.229,38585.67959999999,10717.104392773337
sift1m,kmeans,20260820,16,16,0.5,17269,32,0.9685191006547194,1.0,1.0,0.11114253066021826,0.9667333333333333,921.119520528114,934.0,1234.0,202.26368067533272,40.1456945972552,40.0,45.0,2.482825743399858,170.73715907116798,152.0,271.0,55.99803420367756,5792.8780048063,5262.563,11109.185599999999,2841.2973723136543
sift1m,kmeans,20260820,16,16,0.5,17269,40,0.9795400649112502,1.0,1.0,0.08768249155046132,0.9776555555555556,1080.799293531762,1098.0,1443.0,238.4653074147888,47.93908159129075,48.0,52.0,2.362066229525368,196.4045399270369,175.0,312.0,64.8153141726865,5806.397228270311,5280.787,11278.669399999995,2850.5719501345534
sift1m,kmeans,20260820,16,16,0.5,17269,80,0.9949381725396549,1.0,1.0,0.04338567410284401,0.9946111111111111,1817.295963865887,1859.0,2435.5999999999985,414.933638819289,87.54195379002837,87.0,91.0,2.155150294984847,313.9912560078754,281.0,510.0,107.69622619686618,5869.674025652904,5346.981,11186.625199999995,2809.6870637600528
sift1m,kmeans,20260820,16,16,0.5,17269,160,0.9991059077326377,1.0,1.0,0.017062584004438327,0.9989666666666667,3075.022757542417,3157.0,4132.0,722.5476281831707,167.34020499160346,167.0,171.0,2.0895507796483517,530.2356245295038,474.0,881.0,189.35249687418346,5956.029996293938,5429.966,11268.476,2792.4210971897505
sift1m,kmeans,20260820,16,16,0.5,17269,320,0.9997504474023091,1.0,1.0,0.0069392395054759535,0.9996444444444444,5139.4335514505765,5281.0,6902.5999999999985,1215.7589768069734,327.2458162024437,327.0,331.0,2.074772155260273,921.4118941455788,821.0,1605.0,345.24663628073466,6251.93208935086,5744.726,11483.0226,2768.01823696854
sift1m,kmeans,20260820,32,32,1.0,20750,10,0.8657390896921018,1.0,1.0,0.24658811864685157,0.8579888888888889,426.5246265060241,425.0,597.0,100.08573647901707,17.667373493975905,17.0,22.0,2.2680835480608246,95.94848192771084,85.0,148.0,30.564184037664536,6440.606315903615,5755.9245,13067.178,3444.296881381096
sift1m,kmeans,20260820,32,32,1.0,20750,16,0.9255850831899025,1.0,1.0,0.18521114871676617,0.92,555.0134939759037,559.0,753.0,122.64237248502651,23.25166265060241,23.0,27.0,2.1609214638534113,112.69166265060241,101.0,171.0,33.82701512364566,6550.267368000001,5937.7744999999995,12862.385749999998,3318.5771858821086
sift1m,kmeans,20260820,32,32,1.0,20750,20,0.9465857907821763,1.0,1.0,0.15719226927365765,0.9424888888888889,637.2192771084337,643.0,853.0,137.8862091165671,27.00289156626506,27.0,31.0,2.0655735398390176,124.09773493975904,111.0,188.0,36.89474040521626,6537.414989542168,5922.972,12759.552299999998,3369.3309496548245
sift1m,kmeans,20260820,32,32,1.0,20750,24,0.9600901893287437,1.0,1.0,0.13555974347512925,0.9571111111111111,718.2617831325301,727.0,955.0,153.3310977651979,30.81310843373494,31.0,34.0,1.963709723917563,143.71561445783132,140.0,207.0,38.96122436964062,28069.71075638554,23469.347,65325.81444999999,20162.615759753466
