dataset,logical_shards,metric,difference_definition,favorable_direction,orion_mean,kmeans_mean,mean_difference,relative_difference_vs_kmeans,bootstrap_ci95_low,bootstrap_ci95_high,paired_query_count,bootstrap_replicates,bootstrap_seed,conclusion
sift1m,32,Delta_P,Orion minus K-Means,lower_favors_orion,3.6247777777777777,2.922222222222222,0.7025555555555556,0.24041825095057037,0.4832222222222222,0.919225,9000,10000,20264030,KMEANS_FAVORED
sift1m,32,W90,Orion minus K-Means,lower_favors_orion,3285.1065555555556,3115.026444444444,170.0801111111111,0.054599893177293524,55.28776111111111,290.1036361111111,9000,10000,20264031,KMEANS_FAVORED
sift1m,32,full_fanout_wall_us,Orion minus K-Means,lower_favors_orion,189147.91692966668,189395.00833322224,-247.09140355555564,-0.0013046352474127628,-1116.3026074388888,599.0259303055559,9000,10000,20264032,INCONCLUSIVE
sift1m,32,total_distance_computations,Orion minus K-Means,lower_favors_orion,17238.115777777777,19719.572,-2481.456222222222,-0.1258372251802535,-2503.917427777778,-2458.7942722222224,9000,10000,20264033,ORION_FAVORED
sift1m,32,total_graph_nodes_visited,Orion minus K-Means,lower_favors_orion,1034.8703333333333,1042.8562222222222,-7.985888888888889,-0.007657708434506685,-8.531666666666666,-7.441411111111112,9000,10000,20264034,ORION_FAVORED
sift1m,32,total_worker_cpu_us,Orion minus K-Means,lower_favors_orion,3634.2655555555557,4082.7593333333334,-448.4937777777778,-0.10985065274753997,-453.582375,-443.3733555555556,9000,10000,20264035,ORION_FAVORED
sift1m,32,total_response_bytes,Orion minus K-Means,lower_favors_orion,23798.53177777778,23828.696888888888,-30.165111111111113,-0.0012659152639260287,-30.705675,-29.629427777777778,9000,10000,20264036,ORION_FAVORED
glove-200-angular,2,achieved_recall_at_10,Orion minus K-Means,higher_favors_orion,0.9109,0.9161222222222223,-0.005222222222222222,-0.005700355362578986,-0.006777777777777777,-0.003655555555555556,9000,10000,20361024,KMEANS_FAVORED
glove-200-angular,2,common_ef_mean_local_target_recall,Orion minus K-Means,higher_favors_orion,0.9200909391534391,0.9150126322751324,0.005078306878306878,0.005549985540286942,0.0027941104497354505,0.0073750567680776,9000,10000,20361025,ORION_FAVORED
glove-200-angular,2,common_ef_target_weighted_recall,Orion minus K-Means,higher_favors_orion,0.9109,0.9161222222222223,-0.005222222222222222,-0.005700355362578986,-0.0068111111111111115,-0.003611111111111111,9000,10000,20361026,KMEANS_FAVORED
glove-200-angular,2,common_ef_mean_relevant_distance_computations,Orion minus K-Means,lower_favors_orion,10504.907888888889,10653.127833333334,-148.21994444444445,-0.013913279438989595,-169.31434861111111,-127.66610833333334,9000,10000,20361027,ORION_FAVORED
glove-200-angular,2,P_exact,Orion minus K-Means,lower_favors_orion,1.3083333333333333,1.3296666666666668,-0.021333333333333333,-0.016044121333667585,-0.034555555555555555,-0.0077777777777777776,9000,10000,20361028,ORION_FAVORED
