policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P2,1aaf112fe3cffa07,"{""policy"":""P2"",""fixed_p"":1,""alpha"":16,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,8647.674,12362.05,8647.674,12362.05,13288.31,512.075,513.0,2108.076
P2,d9ff991f44b85001,"{""policy"":""P2"",""fixed_p"":1,""alpha"":16,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,8647.674,12362.05,8647.674,12362.05,13288.31,512.075,513.0,2108.076
P2,96327a6abaa46ad5,"{""policy"":""P2"",""fixed_p"":1,""alpha"":16,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,8647.674,12362.05,8647.674,12362.05,13288.31,512.075,513.0,2108.076
P2,67e09a5a3d3496ef,"{""policy"":""P2"",""fixed_p"":2,""alpha"":1,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.985,0.9,2.0,2.0,2812.381,3712.2999999999997,2292.893,3283.0,3565.06,121.436,105.0,845.362
P2,d86746656881b440,"{""policy"":""P2"",""fixed_p"":2,""alpha"":1,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.9861,0.9,2.0,2.0,2920.553,3838.45,2371.314,3386.3499999999995,3679.01,126.736,109.0,842.382
P2,a37767c36c1904b3,"{""policy"":""P2"",""fixed_p"":2,""alpha"":1,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.9871,0.9,2.0,2.0,3203.237,4189.349999999999,2523.572,3584.1,3920.02,141.602,117.0,883.943
P2,8e2385a6ec5eab72,"{""policy"":""P2"",""fixed_p"":2,""alpha"":1,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.989,0.9,2.0,2.0,3780.168,4912.25,2822.514,4002.0,4355.04,173.328,133.0,998.809
P2,2219028b99a0f713,"{""policy"":""P2"",""fixed_p"":2,""alpha"":1,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9912000000000001,0.9,2.0,2.0,4885.285,6342.1,3406.365,4840.05,5194.0599999999995,236.485,165.0,1251.161
P2,b9dd9179c243c249,"{""policy"":""P2"",""fixed_p"":2,""alpha"":2,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.9921,0.9,2.0,2.0,4631.963,6253.05,3941.367,5730.05,6191.08,221.452,204.0,1216.172
P2,94c6dcb66735294e,"{""policy"":""P2"",""fixed_p"":2,""alpha"":2,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.9927,1.0,2.0,2.0,4732.197,6376.1,4008.375,5837.05,6292.16,226.976,208.0,1227.591
P2,dca2c9722d3af70c,"{""policy"":""P2"",""fixed_p"":2,""alpha"":2,""beta"":16,""ef_min"":8,""ef_max"":512}",1000,0.9929,1.0,2.0,2.0,4994.084,6682.25,4142.177,6007.699999999999,6486.139999999999,241.972,216.0,1267.926
P2,65549e852dad6db5,"{""policy"":""P2"",""fixed_p"":2,""alpha"":2,""beta"":32,""ef_min"":8,""ef_max"":512}",1000,0.9931,1.0,2.0,2.0,5530.756,7318.25,4406.541,6369.949999999999,6917.08,273.803,232.0,1380.971
P2,23d4a0a0611c285f,"{""policy"":""P2"",""fixed_p"":2,""alpha"":2,""beta"":64,""ef_min"":8,""ef_max"":512}",1000,0.9931,1.0,2.0,2.0,6560.588,8604.9,4920.176,7125.0,7702.69,336.994,264.0,1622.556
P2,68c2c6aa0b1f5178,"{""policy"":""P2"",""fixed_p"":2,""alpha"":4,""beta"":4,""ef_min"":8,""ef_max"":512}",1000,0.9941,1.0,2.0,2.0,7760.513,10684.1,6749.777,10049.1,10921.65,422.349,404.0,2005.238
P2,bbf15a0285593d4b,"{""policy"":""P2"",""fixed_p"":2,""alpha"":4,""beta"":8,""ef_min"":8,""ef_max"":512}",1000,0.994,1.0,2.0,2.0,7849.872,10799.0,6806.272,10163.0,11017.67,427.991,408.0,1977.761
